"","y","V1","V2","V3","V4","width","peakdist","frame","file","try","peakNum","mean(width)","max(width)"
"68",247,0.287001789096705,32,9,37,28,NA,2,185,249,3,30.40625,36
"69",247,0.579818047736727,50,37,57,20,18,2,185,267,1,22.1951219512195,58
"70",247,0.420937285657632,68,57,75,18,18,2,185,285,2,39.5267857142857,149
"71",247,0.324625639963127,77,75,78,3,9,2,185,294,2,39.5267857142857,149
"72",247,0.676066068463115,86,78,97,19,9,2,185,303,2,39.5267857142857,149
"73",247,0.263920479687503,101,97,149,52,15,2,185,318,2,39.5267857142857,149
"74",248,0.278405935392554,32,1,37,36,NA,2,185,249,3,30.40625,36
"75",248,0.616501271225556,50,37,60,23,18,2,185,267,1,22.1951219512195,58
"76",248,0.432551676809016,68,60,78,18,18,2,185,285,2,39.5267857142857,149
"77",248,0.695340293386868,86,78,98,20,18,2,185,303,2,39.5267857142857,149
"78",248,0.251245200159256,101,98,149,51,15,2,185,318,2,39.5267857142857,149
"79",249,0.24666985005276,32,10,36,26,NA,2,185,249,3,30.40625,36
"80",249,0.651936731826688,50,36,57,21,18,2,185,267,1,22.1951219512195,58
"81",249,0.44803015525178,68,57,78,21,18,2,185,285,2,39.5267857142857,149
"82",249,0.693756671003178,86,78,146,68,18,2,185,303,2,39.5267857142857,149
"83",250,0.240699103721958,32,10,36,26,NA,2,185,249,3,30.40625,36
"84",250,0.661102920515676,50,36,57,21,18,2,185,267,1,22.1951219512195,58
"85",250,0.46753255980584,68,57,78,21,18,2,185,285,2,39.5267857142857,149
"86",250,0.673639290589134,86,78,147,69,18,2,185,303,2,39.5267857142857,149
"87",251,0.232110604228802,33,9,36,27,NA,2,185,250,3,30.40625,36
"88",251,0.68560990685769,50,36,57,21,17,2,185,267,1,22.1951219512195,58
"89",251,0.333912046907973,59,57,61,4,9,2,185,276,1,22.1951219512195,58
"90",251,0.500165549077312,68,61,77,16,9,2,185,285,2,39.5267857142857,149
"91",251,0.645772915496021,86,77,148,71,18,2,185,303,2,39.5267857142857,149
"92",252,0.222563363428655,33,9,36,27,NA,2,185,250,3,30.40625,36
"93",252,0.730749518738325,50,36,57,21,17,2,185,267,1,22.1951219512195,58
"94",252,0.344934756472474,59,57,61,4,9,2,185,276,1,22.1951219512195,58
"95",252,0.540160508342732,68,61,77,16,9,2,185,285,2,39.5267857142857,149
"96",252,0.619161216146334,85,77,178,101,17,2,185,302,2,39.5267857142857,149
"97",253,0.216835923763097,33,9,36,27,NA,2,185,250,3,30.40625,36
"98",253,0.790252786717413,50,36,57,21,17,2,185,267,1,22.1951219512195,58
"99",253,0.587199699880284,68,57,78,21,18,2,185,285,2,39.5267857142857,149
"100",253,0.596225857526268,85,78,178,100,17,2,185,302,2,39.5267857142857,149
"101",254,0.210472687078799,33,1,35,34,NA,2,185,250,3,30.40625,36
"102",254,0.844837803013002,50,35,58,23,17,2,185,267,1,22.1951219512195,58
"103",254,0.682129464994964,68,58,78,20,18,2,185,285,2,39.5267857142857,149
"104",254,0.557986443839618,85,78,178,100,17,2,185,302,2,39.5267857142857,149
"105",255,0.207393148119436,33,18,35,17,NA,2,185,250,3,30.40625,36
"106",255,0.884579267786484,50,35,58,23,17,2,185,267,1,22.1951219512195,58
"107",255,0.839950449156969,68,58,79,21,18,2,185,285,2,39.5267857142857,149
"108",255,0.507036149561675,85,79,178,99,17,2,185,302,2,39.5267857142857,149
"109",256,0.205441733132905,33,18,35,17,NA,2,185,250,3,30.40625,36
"110",256,0.904498736169353,50,35,60,25,17,2,185,267,1,22.1951219512195,58
"111",256,0.959311336122064,68,60,79,19,18,2,185,285,2,39.5267857142857,149
"112",256,0.468923572106033,85,79,178,99,17,2,185,302,2,39.5267857142857,149
"113",257,0.904670090821027,50,1,59,58,NA,2,185,267,1,22.1951219512195,58
"114",257,1.00934577886063,69,59,80,21,19,2,185,286,2,39.5267857142857,149
"115",257,0.418953879676155,85,80,165,85,16,2,185,302,2,39.5267857142857,149
"116",258,0.862906243800757,51,1,58,57,NA,2,185,268,1,22.1951219512195,58
"117",258,1.0195618116657,68,58,81,23,17,2,185,285,2,39.5267857142857,149
"118",258,0.396336642522887,85,81,165,84,17,2,185,302,2,39.5267857142857,149
"119",259,0.201056674790843,34,1,35,34,NA,2,185,251,3,30.40625,36
"120",259,0.772139469341203,51,35,58,23,17,2,185,268,1,22.1951219512195,58
"121",259,1.02882104481258,68,58,81,23,17,2,185,285,2,39.5267857142857,149
"122",259,0.379748572759488,85,81,165,84,17,2,185,302,2,39.5267857142857,149
"123",260,0.201479774732346,34,1,35,34,NA,2,185,251,3,30.40625,36
"124",260,0.656293942819351,51,35,58,23,17,2,185,268,1,22.1951219512195,58
"125",260,1.02690571586753,68,58,81,23,17,2,185,285,2,39.5267857142857,149
"126",260,0.376164729288502,85,81,136,55,17,2,185,302,2,39.5267857142857,149
"127",261,0.2026006209545,33,1,35,34,NA,2,185,250,3,30.40625,36
"128",261,0.587726467872269,51,35,57,22,18,2,185,268,1,22.1951219512195,58
