"","xIntensity","xMaxLoc","xPeakStart","xPeakEnd","Xwidth","peakdist","frame","file","try","peakNum","mean.width.","max.width.","time","widthsy","yIntensity","sample"
"47",1.02952901505651,68,59,79,20,18,17,197,285.5,2,34.6525423728814,141,13.6,110,0.192953817249637,"Example"
"48",0.271304803459223,32,1,38,37,NA,17,197,249.5,3,30.1764705882353,38,13.6,157,0.836336285157091,"Example"
"49",0.973654992973902,50,37,59,22,17,18,193,267.5,1,19.9402985074627,23,14.4,139,1.01790355932798,"Example"
"50",1.03016718994577,68,59,78,19,17,18,193,285.5,2,35.7813411078717,146,14.4,112,0.270869570291498,"Example"
"51",0.27109586563556,32,1,39,38,NA,18,193,249.5,3,29.2254901960784,38,14.4,133,0.430983806170972,"Example"
"52",0.961057064145811,50,37,59,22,17,19,194,267.5,1,20.0223880597015,23,15.2,139,1.02008081514883,"Example"
"53",1.02489803302358,68,59,79,20,17,19,194,285.5,2,34.5346820809249,150,15.2,129,0.272036810379256,"Example"
"54",0.270392636799338,32,1,39,38,NA,19,194,249.5,3,29.8725490196078,39,15.2,136,0.3910619440643,"Example"
"55",0.960346176309644,51,38,59,21,18,20,193,268.5,1,19.9402985074627,23,16,137,1.02443208834284,"Example"
"56",1.02463761818304,68,59,79,20,17,20,193,285.5,2,35.7813411078717,146,16,129,0.268088218327802,"Example"
"57",0.270641088624623,32,1,39,38,NA,20,193,249.5,3,29.2254901960784,38,16,156,1.01129953352371,"Example"
