"","x","V1","V2","V3","V4","widthsy","frame","file","peakNum","maxL"
"96",242,0.181281395861128,59,53,95,42,1,282,3,132
"97",243,0.280941004069422,24,6,30,24,1,282,3,132
"98",243,0.268614375557092,34,30,52,22,1,282,3,132
"99",243,0.189427222710408,59,52,106,54,1,282,3,132
"100",244,0.295920345132794,27,6,52,46,1,282,3,132
"101",244,0.188320450253419,59,52,134,82,1,282,3,132
"102",245,0.343656502702201,29,6,54,48,1,282,3,132
"103",245,0.17604045782182,59,54,136,82,1,282,3,132
"104",246,0.428182028371162,28,6,98,92,1,282,3,132
"105",247,0.643191289238493,29,5,98,93,1,282,3,132
"106",248,0.939654307237405,29,5,98,93,1,282,3,132
"107",249,1.00557984850745,29,5,102,97,1,282,3,132
"108",250,0.987373903672231,29,6,103,97,1,282,3,132
"109",251,0.80604192886,29,6,138,132,1,282,3,132
"110",252,0.58635254139324,30,7,138,131,1,282,3,132
"111",253,0.475569432207185,31,7,138,131,1,282,3,132
"112",254,0.427449407031555,31,8,138,130,1,282,3,132
"113",255,0.405250265664732,31,8,138,130,1,282,3,132
"114",256,0.409428317898235,31,8,138,130,1,282,3,132
"115",257,0.425383859933263,32,8,62,54,1,282,3,132
"116",257,0.156578767057522,65,62,142,80,1,282,3,132
"117",258,0.427680917125553,32,8,62,54,1,282,1,122
"118",258,0.154574251876736,65,62,142,80,1,282,1,122
"119",259,0.427003721411491,34,8,62,54,1,282,1,122
"120",259,0.154288919966544,65,62,76,14,1,282,1,122
"121",259,0.111777989445645,77,76,142,66,1,282,1,122
"122",260,0.438051570072754,34,9,62,53,1,282,1,122
"123",260,0.152537028732835,65,62,76,14,1,282,1,122
"124",260,0.112267528754838,77,76,142,66,1,282,1,122
"125",261,0.454261956319593,33,9,62,53,1,282,1,122
"126",261,0.150532348752255,65,62,76,14,1,282,1,122
"127",261,0.112525316530168,78,76,142,66,1,282,1,122
"128",262,0.520719695214776,33,9,62,53,1,282,1,122
"129",262,0.150150282525874,65,62,75,13,1,282,1,122
"130",262,0.113948545392824,78,75,142,67,1,282,1,122
"131",263,0.645600733269508,33,9,62,53,1,282,1,122
"132",263,0.148497314502595,65,62,75,13,1,282,1,122
"133",263,0.114708010179444,78,75,142,67,1,282,1,122
"134",264,0.918784320432161,33,9,62,53,1,282,1,122
"135",264,0.146491199166032,65,62,75,13,1,282,1,122
"136",264,0.11478652942915,78,75,142,67,1,282,1,122
"137",265,1.0266937886191,33,8,130,122,1,282,1,122
"138",266,1.01701209059511,34,8,130,122,1,282,1,122
"139",267,1.01794069867031,33,9,130,121,1,282,1,122
"140",268,1.01968396129845,34,9,130,121,1,282,1,122
"141",269,1.02504630786914,33,9,130,121,1,282,1,122
"142",270,1.00765956086251,33,10,130,120,1,282,1,122
"143",271,0.867836010558847,32,11,130,119,1,282,1,122
"144",272,0.628643861682058,32,13,130,117,1,282,1,122
"145",273,0.498214204531129,32,10,64,54,1,282,1,122
"146",273,0.140810314380858,67,64,114,50,1,282,1,122
"147",274,0.449854947587073,32,10,64,54,1,282,1,122
"148",274,0.143880345609217,66,64,114,50,1,282,1,122
"149",275,0.422271585841249,31,10,64,54,1,282,1,122
"150",275,0.149187766092338,65,64,114,50,1,282,1,122
"151",276,0.407509815939023,31,10,63,53,1,282,1,122
"152",276,0.153470918340153,65,63,114,51,1,282,1,122
"153",277,0.386920013338645,30,10,63,53,1,282,1,122
"154",277,0.154886299635896,65,63,114,51,1,282,1,122
"155",278,0.375287197609783,29,9,63,54,1,282,2,155
"156",278,0.153248116379437,65,63,114,51,1,282,2,155
"157",279,0.367066645630354,29,9,63,54,1,282,2,155
"158",279,0.151173833638768,64,63,104,41,1,282,2,155
"159",280,0.363134673554008,27,9,63,54,1,282,2,155
"160",280,0.149255611785002,64,63,103,40,1,282,2,155
"161",281,0.394959504997958,26,9,162,153,1,282,2,155
"162",282,0.45156238577454,26,8,162,154,1,282,2,155
"163",283,0.585716452316994,24,7,162,155,1,282,2,155
"164",284,0.730661380259312,23,6,48,42,1,282,2,155
"165",284,0.181601351738316,52,48,162,114,1,282,2,155
"166",285,0.797224835927383,21,6,48,42,1,282,2,155
"167",285,0.174460448999379,53,48,162,114,1,282,2,155
"168",286,0.735788753562781,21,6,49,43,1,282,2,155
"169",286,0.166962769548677,54,49,162,113,1,282,2,155
"170",287,0.577177181880342,21,6,50,44,1,282,2,155
"171",287,0.162459427792251,55,50,95,45,1,282,2,155
"172",288,0.440708620540301,20,6,50,44,1,282,2,155
"173",288,0.16012344385167,56,50,94,44,1,282,2,155
"174",289,0.346708059762641,20,5,53,48,1,282,2,155
"175",289,0.153669533046801,57,53,97,44,1,282,2,155
"176",290,0.32684590630006,20,6,53,47,1,282,2,155
"177",290,0.163637008220803,59,53,97,44,1,282,2,155
"178",291,0.301958672503993,20,6,53,47,1,282,2,155
"179",291,0.178748443839749,59,53,97,44,1,282,2,155
"180",292,0.287666097546181,20,5,53,48,1,282,2,155
"181",292,0.189689545926369,59,53,97,44,1,282,2,155
"182",293,0.280642855069465,19,4,32,28,1,282,2,155
"183",293,0.230185825993999,35,32,53,21,1,282,2,155
"184",293,0.189689600480166,59,53,97,44,1,282,2,155
"185",294,0.273573407167427,19,2,32,30,1,282,2,155
"186",294,0.224759211083996,36,32,53,21,1,282,2,155
"187",294,0.178746033864917,59,53,97,44,1,282,2,155
"188",295,0.257418393177822,18,3,32,29,1,282,2,155
"189",295,0.21666860939577,38,32,53,21,1,282,2,155
"190",295,0.163632970811137,59,53,97,44,1,282,2,155
"191",296,0.24173752622629,19,5,32,27,1,282,2,155
"192",296,0.215043946744073,39,32,53,21,1,282,2,155
"193",296,0.153658055355317,57,53,97,44,1,282,2,155
"194",297,0.239578650870652,18,1,31,30,1,282,2,155
"195",297,0.204184518967656,38,31,52,21,1,282,2,155
"196",297,0.149670044606736,55,52,92,40,1,282,2,155
"197",298,0.253909953089408,17,1,32,31,1,282,2,155
"198",298,0.200283635297009,38,32,52,20,1,282,2,155
"199",298,0.147903895344464,55,52,92,40,1,282,2,155
"200",299,0.286390482361438,17,1,32,31,1,282,2,155
"201",299,0.196239002753414,38,32,53,21,1,282,2,155
"202",299,0.146061329455699,54,53,92,39,1,282,2,155
"203",300,0.316843313257824,17,1,32,31,1,282,2,155
"204",300,0.199441126371188,38,32,92,60,1,282,2,155
"205",301,0.309264020036018,17,1,32,31,1,282,2,155
"206",301,0.202124818518998,38,32,92,60,1,282,2,155
"207",302,0.269302930674827,17,1,32,31,1,282,2,155
"208",302,0.199464758700362,38,32,92,60,1,282,2,155
"209",303,0.22644849589222,17,1,31,30,1,282,2,155
"210",303,0.188500998287758,38,31,61,30,1,282,2,155
"211",303,0.118319801027923,62,61,92,31,1,282,2,155
"212",304,0.207368955371882,18,1,30,29,1,282,2,155
"213",304,0.178392787024321,38,30,60,30,1,282,2,155
"214",304,0.117890314331851,63,60,92,32,1,282,2,155
"215",305,0.186940246391513,19,1,33,32,1,282,2,155
"216",305,0.171126162629615,43,33,62,29,1,282,2,155
"217",305,0.113927515377965,65,62,126,64,1,282,2,155
"218",306,0.181446036694934,19,1,29,28,1,282,2,155
"219",306,0.160810369326763,33,29,38,9,1,282,2,155
"220",306,0.163658007767505,44,38,62,24,1,282,2,155
"221",306,0.113978412654229,65,62,126,64,1,282,2,155
"222",307,0.171691421475966,19,1,30,29,1,282,2,155
"223",307,0.157037715838599,33,30,39,9,1,282,2,155
"224",307,0.157872386537544,45,39,61,22,1,282,2,155
"225",307,0.114077397589954,65,61,126,65,1,282,2,155
"226",308,0.162167259858902,20,1,30,29,1,282,2,155
"227",308,0.153023309351697,33,30,39,9,1,282,2,155
"228",308,0.158928707878956,45,39,63,24,1,282,2,155
"229",308,0.109960606526628,65,63,126,63,1,282,2,155
"230",309,0.15377185314977,20,1,33,32,1,282,2,155
"231",309,0.164545974353121,44,33,62,29,1,282,2,155
"232",309,0.110059634275201,65,62,126,64,1,282,2,155
"233",310,0.14976043807075,21,2,33,31,1,282,2,155
"234",310,0.169474826785554,44,33,126,93,1,282,2,155
"235",311,0.147315385899632,20,2,33,31,1,282,2,155
"236",311,0.169868846957247,44,33,63,30,1,282,2,155
"237",311,0.106042700237405,65,63,126,63,1,282,2,155
"238",312,0.147438337584814,19,2,33,31,1,282,2,155
"239",312,0.166900766394883,44,33,62,29,1,282,2,155
"240",312,0.106091799742129,65,62,126,64,1,282,2,155
"241",313,0.133656685054385,23,1,28,27,1,282,2,155
"242",313,0.150008717595907,41,28,59,31,1,282,2,155
"243",313,0.107603719404,64,59,102,43,1,282,2,155
"244",314,0.133741192920761,23,1,30,29,1,282,2,155
"245",314,0.145944727425964,41,30,60,30,1,282,2,155
"246",314,0.106800461770657,63,60,102,42,1,282,2,155
"247",315,0.12971572026291,23,1,28,27,1,282,2,155
"248",315,0.134382597555948,37,28,60,32,1,282,2,155
"249",315,0.105631792475175,63,60,102,42,1,282,2,155
"250",316,0.126683447410066,22,1,28,27,1,282,2,155
"251",316,0.12896628068309,35,28,42,14,1,282,2,155
"252",316,0.12562354487215,44,42,60,18,1,282,2,155
"253",316,0.104372308082964,63,60,102,42,1,282,2,155
"254",317,0.125794677242578,25,3,42,39,1,282,2,155
"255",317,0.117746515977929,45,42,61,19,1,282,2,155
"256",317,0.103539556982495,62,61,102,41,1,282,2,155
"257",318,0.121931476873911,23,2,41,39,1,282,2,155
"258",318,0.113919608758584,49,41,102,61,1,282,2,155
"259",319,0.11790928393924,23,3,25,22,1,282,2,155
"260",319,0.118639700644657,30,25,40,15,1,282,2,155
"261",319,0.110010321878335,52,40,68,28,1,282,2,155
"262",320,0.117963830888937,23,4,26,22,1,282,2,155
"263",320,0.117920149439138,28,26,38,12,1,282,2,155
"264",320,0.109843555783547,44,38,47,9,1,282,2,155
"265",320,0.11000815945715,52,47,68,21,1,282,2,155
"266",321,0.110013979898407,26,1,44,43,1,282,2,155
"267",321,0.108614086450214,52,44,60,16,1,282,2,155
"268",321,0.100522217794593,63,60,110,50,1,282,2,155
"269",322,0.109944234055486,26,1,43,42,1,282,2,155
"270",322,0.107772325497034,52,43,60,17,1,282,2,155
"271",323,0.108855684256707,18,1,34,33,1,282,2,155
"272",323,0.101962740890231,39,34,45,11,1,282,2,155
"273",323,0.106385852137952,52,45,60,15,1,282,2,155
"274",324,0.110349543025968,18,1,34,33,1,282,2,155
"275",324,0.104747607030027,52,43,61,18,1,282,2,155
"276",325,0.109043908113823,18,1,34,33,1,282,2,155
"277",325,0.103848943192686,52,44,60,16,1,282,2,155
"278",326,0.104991960243244,18,1,34,33,1,282,2,155
"279",326,0.101286640262395,52,42,61,19,1,282,2,155
"280",327,0.100655339132546,19,1,33,32,1,282,2,155
"281",327,0.100824225978843,52,43,61,18,1,282,2,155
"282",328,0.100767323055341,52,44,60,16,1,282,2,155
"283",204,0.102074460288787,26,5,28,23,1,282,3,132
"284",204,0.102248189581185,33,28,43,15,1,282,3,132
"285",205,0.106069091197787,25,5,43,38,1,282,3,132
"286",206,0.106148662073147,25,1,43,42,1,282,3,132
"287",207,0.101726388827258,20,2,21,19,1,282,3,132
"288",207,0.102088175583019,25,21,34,13,1,282,3,132
"289",208,0.102164330354812,25,2,34,32,1,282,3,132
"290",208,0.100562548376504,55,48,94,46,1,282,3,132
"291",209,0.100067550459525,22,5,23,18,1,282,3,132
"292",209,0.106182925110731,32,23,41,18,1,282,3,132
"293",209,0.106310118005388,50,41,57,16,1,282,3,132
"294",209,0.101257577342161,63,57,111,54,1,282,3,132
"295",210,0.106142810357143,31,5,41,36,1,282,3,132
"296",210,0.106241542202138,50,41,57,16,1,282,3,132
"297",210,0.101523059751176,62,57,111,54,1,282,3,132
"298",211,0.110073223357481,31,5,41,36,1,282,3,132
"299",211,0.110293492760464,50,41,57,16,1,282,3,132
"300",211,0.102201333940941,62,57,111,54,1,282,3,132
"301",212,0.113953981958574,31,5,41,36,1,282,3,132
"302",212,0.114260086062708,49,41,58,17,1,282,3,132
"303",212,0.10222983823471,62,58,111,53,1,282,3,132
"304",213,0.117454637909144,28,5,41,36,1,282,3,132
"305",213,0.114178844580916,49,41,58,17,1,282,3,132
"306",213,0.103190182145142,61,58,111,53,1,282,3,132
"307",214,0.122539182842025,28,5,41,36,1,282,3,132
"308",214,0.118223905116922,49,41,58,17,1,282,3,132
"309",214,0.103913755818916,61,58,70,12,1,282,3,132
"310",215,0.126200319880942,28,5,41,36,1,282,3,132
"311",215,0.122230635934784,49,41,58,17,1,282,3,132
"312",215,0.10423415295472,61,58,70,12,1,282,3,132
"313",216,0.127567339571645,27,5,41,36,1,282,3,132
"314",216,0.122149606622707,49,41,58,17,1,282,3,132
"315",216,0.105929558560601,60,58,70,12,1,282,3,132
"316",217,0.122226154950095,21,6,28,22,1,282,3,132
"317",217,0.121562031705492,31,28,36,8,1,282,3,132
"318",217,0.133881996761728,47,36,60,24,1,282,3,132
"319",217,0.104280030513999,63,60,102,42,1,282,3,132
"320",218,0.123758402000025,20,6,27,21,1,282,3,132
"321",218,0.121508059278947,29,27,33,6,1,282,3,132
"322",218,0.13787876389911,47,33,60,27,1,282,3,132
"323",218,0.104390748758218,62,60,102,42,1,282,3,132
"324",219,0.126241363993275,21,5,33,28,1,282,3,132
"325",219,0.143119926475933,46,33,102,69,1,282,3,132
"326",220,0.131679412328906,20,5,27,22,1,282,3,132
"327",220,0.129335659352193,28,27,33,6,1,282,3,132
"328",220,0.151438627112221,45,33,102,69,1,282,3,132
"329",221,0.137933984597156,22,4,33,29,1,282,3,132
"330",221,0.158620213815089,44,33,102,69,1,282,3,132
"331",222,0.14189309349739,21,4,34,30,1,282,3,132
"332",222,0.163402030834687,45,34,102,68,1,282,3,132
"333",223,0.145757554074234,22,2,28,26,1,282,3,132
"334",223,0.145098663940751,30,28,36,8,1,282,3,132
"335",223,0.166500307583514,45,36,102,66,1,282,3,132
"336",224,0.145934015628337,21,2,27,25,1,282,3,132
"337",224,0.145132947537817,30,27,36,9,1,282,3,132
"338",224,0.168711327888763,45,36,102,66,1,282,3,132
"339",225,0.15286891820374,20,5,31,26,1,282,3,132
"340",225,0.171812383634427,45,31,122,91,1,282,3,132
"341",226,0.169072915314916,19,5,32,27,1,282,3,132
"342",226,0.173511375269335,45,32,122,90,1,282,3,132
"343",227,0.187975473749808,19,5,31,26,1,282,3,132
"344",227,0.17475688120822,44,31,122,91,1,282,3,132
"345",228,0.219362161695946,18,5,29,24,1,282,3,132
"346",228,0.18130046886006,43,29,122,93,1,282,3,132
"347",229,0.280783737008658,18,5,31,26,1,282,3,132
"348",229,0.190638882189595,42,31,122,91,1,282,3,132
"349",230,0.334693037000129,18,5,32,27,1,282,3,132
"350",230,0.20468999342821,42,32,122,90,1,282,3,132
"351",231,0.330714632516966,18,5,32,27,1,282,3,132
"352",231,0.21708738328024,41,32,122,90,1,282,3,132
"353",232,0.293648346765136,18,4,30,26,1,282,3,132
"354",232,0.223684643325096,41,30,122,92,1,282,3,132
"355",233,0.245305373793082,18,5,33,28,1,282,3,132
"356",233,0.217170073187773,41,33,127,94,1,282,3,132
"357",234,0.231460734463189,19,5,33,28,1,282,3,132
"358",234,0.213310768532201,40,33,127,94,1,282,3,132
"359",235,0.215437282292772,20,5,33,28,1,282,3,132
"360",235,0.208266274207412,40,33,127,94,1,282,3,132
"361",236,0.215036457072983,22,5,33,28,1,282,3,132
"362",236,0.206933503184716,39,33,127,94,1,282,3,132
"363",237,0.224119052980464,21,5,33,28,1,282,3,132
"364",237,0.213378402717073,39,33,127,94,1,282,3,132
"365",238,0.239887314942735,20,5,33,28,1,282,3,132
"366",238,0.222773809868934,39,33,54,21,1,282,3,132
"367",238,0.149518687126182,58,54,127,73,1,282,3,132
"368",239,0.254060464898847,20,5,33,28,1,282,3,132
"369",239,0.234570084661267,38,33,53,20,1,282,3,132
"370",239,0.157530490422372,58,53,127,74,1,282,3,132
"371",240,0.261810678564069,21,5,33,28,1,282,3,132
"372",240,0.241710611448798,38,33,53,20,1,282,3,132
